state,reg.bea,reg.cens,ob.15,ob.14,ob.13,ob.12,ob.11,ob.10,ob.09,ob.08,ob.07,ob.06,ob.05,ob.04,ob.03
Alabama,Southeast,South,0.356,0.335,0.324,0.33,0.32,0.323,0.316,0.312,0.301,0.294,0.287,0.277,0.284
Alaska,Far West,Pacific,0.298,0.297,0.284,0.257,0.274,0.259,0.269,0.272,0.273,0.258,0.249,0.235,0.235
Arizona,Southwest,West,0.284,0.289,0.268,0.26,0.247,0.254,0.258,0.248,0.233,0.217,0.208,0.203,0.201
Arkansas,Southeast,South,0.345,0.359,0.346,0.345,0.309,0.306,0.301,0.286,0.281,0.27,0.264,0.25,0.252
California,Far West,Pacific,0.242,0.247,0.241,0.25,0.238,0.248,0.244,0.236,0.231,0.227,0.227,0.215,0.232
Colorado,Mountain,West,0.202,0.213,0.213,0.205,0.207,0.198,0.191,0.189,0.184,0.176,0.169,0.164,0.16
Connecticut,New England,Northeast,0.253,0.263,0.25,0.256,0.245,0.218,0.214,0.213,0.208,0.201,0.196,0.189,0.191
Delaware,Mideast,South,0.297,0.307,0.311,0.269,0.288,0.28,0.279,0.273,0.259,0.236,0.228,0.225,0.24
District of Columbia,Mideast,South,0.221,0.217,0.229,0.219,0.237,0.217,0.215,0.223,0.221,0.222,0.215,0.212,0.203
Florida,Southeast,South,0.268,0.262,0.264,0.252,0.266,0.261,0.251,0.241,0.233,0.229,0.218,0.207,0.199
Georgia,Southeast,South,0.307,0.305,0.303,0.291,0.28,0.287,0.281,0.279,0.275,0.261,0.255,0.245,0.252
Hawaii,Far West,Pacific,0.227,0.221,0.218,0.236,0.218,0.231,0.226,0.218,0.207,0.201,0.182,,0.164
Idaho,Mountain,West,0.286,0.289,0.296,0.268,0.27,0.257,0.251,0.248,0.246,0.232,0.224,0.206,0.218
Illinois,Great Lakes,Midwest,0.308,0.293,0.294,0.281,0.271,0.277,0.266,0.259,0.253,0.244,0.239,0.229,0.232
Indiana,Great Lakes,Midwest,0.313,0.327,0.318,0.314,0.308,0.291,0.281,0.274,0.275,0.268,0.262,0.252,0.26
Iowa,Plains,Midwest,0.321,0.309,0.313,0.304,0.29,0.281,0.276,0.267,0.263,0.249,0.243,0.234,0.239
Kansas,Plains,Midwest,0.342,0.313,0.3,0.299,0.296,0.29,0.282,0.272,0.258,0.243,0.232,0.229,0.226
Kentucky,Southeast,South,0.346,0.316,0.332,0.313,0.304,0.315,0.305,0.29,0.284,0.275,0.267,0.253,0.256
Louisiana,Southeast,South,0.362,0.349,0.331,0.347,0.334,0.316,0.312,0.289,0.295,0.282,0.274,0.258,0.248
Maine,New England,Northeast,0.3,0.282,0.289,0.284,0.278,0.265,0.258,0.247,0.237,0.23,0.22,0.213,0.199
Maryland,Mideast,South,0.289,0.296,0.283,0.276,0.283,0.271,0.266,0.26,0.252,0.244,0.234,0.217,0.219
Massachusetts,New England,Northeast,0.243,0.233,0.236,0.229,0.227,0.223,0.217,0.212,0.209,0.198,0.186,0.178,0.168
Michigan,Great Lakes,Midwest,0.312,0.307,0.315,0.311,0.313,0.305,0.294,0.288,0.277,0.268,0.256,0.253,0.252
Minnesota,Plains,Midwest,0.261,0.276,0.255,0.257,0.257,0.253,0.255,0.253,0.248,0.237,0.231,0.226,0.23
Mississippi,Southeast,South,0.356,0.355,0.351,0.346,0.349,0.344,0.338,0.325,0.317,0.306,0.295,0.281,0.281
